stadium,team,league,country,lat,lon
Estadio Florencio Solá,CA Banfield,,ARG,-34.587500,-58.672500
Estádio Francisco Stédile,SER Caxias do Sul,,BRA,-29.168900,-51.178500
Estadio Hernando Siles,Club Bolívar,,BOL,-16.500000,-68.150000
Estadio J.A. Anzoátegui,Deportivo Anzoátegui,,VEN,5.166700,-66.533300
Estadio J.C. Zerillo,Gimnasia y Esgrima,,ARG,38.516300,-77.015400
Estadio J.E. Romero,UA Maracaibo,,VEN,10.631700,-71.640600
Estádio Jacy Scaff,Londrina EC,,BRA,-23.300000,-51.150000
Estadio Jalisco,Club Atlas,,MEX,20.666700,-103.333300
Estadio José Amalfitani,CA Vélez Sársfield,,ARG,-34.587500,-58.672500
Estadio La Cartuja,Multi-use,,ESP,37.382400,-5.976100
Estadio La Romareda,Real Zaragoza,,ESP,41.645300,-0.884900
Estadio Latinoamericano,Industriales,,CUB,21.361400,-78.336100
Estadio M. Alemán Valdés,Club Celaya,,MEX,20.516700,-100.816700
Estádio Machado,América FC,,BRA,-5.783300,-35.216700
Estádio Magalhães Pinto,Cruzeiro EC,,BRA,-19.916700,-43.933300
Estádio Manoel Barradas,EC Vitória,,BRA,-12.983300,-38.516700
Estádio Mario Helênio,SC Juiz de Fora,,BRA,-21.751700,-43.352800
Estadio Mestalla,Valencia CF,,ESP,34.418000,-118.566200
Estadio Metropolitano,Junior CPD,,COL,10.963900,-74.796400
Estadio Modelo A. Spencer,Multi-use,,ECU,-2.166700,-79.900000
Estadio Monumental U,Universitario,,PER,40.798800,-84.131900
Estadio Morelos,Morelia,,MEX,19.700000,-101.116700
Estadio Nacional,National Stadium,,PER,40.798800,-84.131900
Estádio Nacional,National Stadium,,PRT,44.207900,-71.883900
Estadio Nueva Condomina,Real Murcia CF,,ESP,37.987000,-1.130000
Estadio Nueva España,Deportivo Español,,ARG,-34.587500,-58.672500
Estádio O Amigão,Campinense Clube,,BRA,-7.216700,-35.883300
Estadio Omnilife,CD Guadalajara,,MEX,20.716700,-103.400000
Estadio Panamericano,National Team,,CUB,21.361400,-78.336100
Estadio Pedro Bidegaín,CA San Lorenzo,,ARG,-34.587500,-58.672500
Estádio Plácido Castelo,Ceará SC,,BRA,-18.550000,-54.766700
Estádio Roberto Santos,EC Bahia,,BRA,-12.983300,-38.516700
Estadio San Mamés,Athletic de Bilbao,,ESP,43.260900,-2.938800
Estadio Tecnologico,Rayados del Monterrey,,MEX,25.666700,-100.316700
Estadio Universitario,Potros UAEM,,MEX,40.985000,-89.152100
Estádio Vivaldo Lima,Nacional FC,,BRA,-3.113300,-60.025300
Etihad Stadium,Multi-use,,AUS,28.078200,-80.753400
EverBank Field,Jacksonville Jaguars,,USA,30.353300,-81.499000
Ewood Park,Blackburn Rovers,,GBR,53.750000,-2.483300
Faurot Field,Missouri Tigers,,USA,39.043700,-92.271400
Félix Houphouet-Boigny,National Stadium,,CIV,5.309700,-4.012700
Fengtai Stadium,Beijing Yitong Kuche,,CHN,39.928900,116.388300
Fenway Park,Boston Red Sox,,USA,42.349600,-71.074600
Fernanda Pires da Silva,Race-use,,PRT,38.716100,-9.392300
Feroz Shah Kotla,Delhi Daredevils,,IND,28.600000,77.200000
Fitzgerald Stadium,Kerry County,,IRL,52.050000,-9.516700
Flemington Racecourse,Horse Racing-use,,AUS,28.078200,-80.753400
Florida Citrus Bowl,Orlando City SC,,USA,28.588300,-81.243900
Floyd Casey Stadium,Baylor Bears,,USA,31.478900,-97.092600
Floyd Stadium,MTSU Blue Raiders,,USA,34.113900,-93.708900
Folsom Field Stadium,Colorado Buffaloes,,USA,40.087800,-105.373500
Ford Field,Detroit Lions,,USA,42.367900,-83.138600
Forsyth Barr Stadium,Otago RFU,,NZL,28.028800,-82.768900
Franklin Field,Pennsylvania Quakers,,USA,39.952400,-75.165300
Fred Yager Stadium,Miami-Ohio RedHawks,,USA,34.340200,-89.483300
Friends Arena,AIK Fotboll,,SWE,59.366700,18.016700
Fritz Walter Stadion,1.FC Kaiserslautern,,DEU,49.450000,7.750000
Fukuoka Dome,Fukuoka SoftBank Hawks,,JPN,33.606400,130.418100
Fukushima Racecourse,Horse-Racing use,,JPN,37.750000,140.467800
Gadaffi Hockey Stadium,Hockey-use,,PAK,31.549700,74.343600
Gaddafi Stadium,Cricket-use,,PAK,31.549700,74.343600
Gaelic Grounds,Limerick County,,IRL,52.664700,-8.623100
Gateway Int'l Raceway,Race-use,,USA,36.255800,-86.699100
Gateway Stadium,Football-use,,NGA,7.150000,3.350000
Gaylord Family Stadium,Oklahoma Sooners,,USA,35.233000,-97.412200
Gedebage Stadium,Persib Bandung,,IDN,-6.903900,107.618600
Georgia Dome,Atlanta Falcons,,USA,-25.207000,27.565500
Gerald J. Ford Stadium,SMU Mustangs,,USA,40.807700,-77.861400
Ghadir Stadium,Foolad FC,,IRN,31.320300,48.669300
Gillette Stadium,New England Patriots,,USA,42.060800,-71.233700
Glücksgas Stadion,SG Dynamo Dresden,,DEU,36.336500,-88.671400
Goodison Park,Everton FC,,GBR,43.153200,-76.211600
Grand Stade de Marrakech,KAC Marrakech,,MAR,31.631500,-8.008300
Grand Stade de Tanger,Ittihad de Tanger,,MAR,35.780600,-5.813600
Great American Ball Park,Cincinnati Reds,,USA,39.166800,-84.538200
Grolsch Veste,FC Twente,,NLD,52.219500,6.891200
Guangdong Stadium,Multi-use,,CHN,23.116700,113.250000
Hampden Park,Queens Park,,GBR,36.937600,-85.946300
Hanshin Racecourse,Horse-Racing use,,JPN,43.366700,144.433300
Harvard Stadium,Harvard Crimson,,USA,42.349600,-71.074600
Heinz Field,P'burgh Steelers/Panthers,,USA,40.449500,-79.988000
Hernan Ramirez Villegas,Deportivo Pereira,,COL,4.813300,-75.696100
HH Humphrey Metrodome,Minnesota Twins,,USA,45.005900,-93.430500
Hillsborough,Sheffield Wednesday,,GBR,42.877200,-93.212800
Hipódromo Argentino,Horse-Racing use,,ARG,-34.587500,-58.672500
Hipódromo da Gávea,Horse Racing-use,,BRA,-22.900000,-43.233300
Hipódromo de San Isidro,Horse-Racing use,,ARG,-34.471400,-58.507800
Hippodrome d'Auteuil,Horse Racing-use,,FRA,38.213300,-84.225600
Hippodrome de Longchamp,Horse Racing-use,,FRA,38.213300,-84.225600
Hippodrome de Vincennes,Horse Racing-use,,FRA,38.213300,-84.225600
Hockenheimring,Race-use,,DEU,49.322800,8.545800
Holmenkollen Stadion,Ski-jumping use,,NOR,59.916700,10.750000
Hongkou Stadium,Shenhua FC,,CHN,31.045600,121.399700
Horner Rennbahn,Horse Racing-use,,DEU,33.226500,-91.791200
Hrazdan Stadium,National Stadium,,ARM,40.181100,44.513600
Hunter Stadium,Newcastle Knights RLC,,AUS,-27.758000,29.931800
Huskie Stadium,Northern Illinois Huskies,,USA,32.753900,-88.721900
Husky Stadium,Washington Huskies,,USA,47.602600,-122.328400
Hypo-Arena,SK Austria Kärnten,,AUT,46.624700,14.305300
Ibrox Stadium,Rangers FC,,GBR,36.937600,-85.946300
Imtech Arena,Hamburger SV,,DEU,33.226500,-91.791200
Inca Garcilaso de la Vega,ADFP Cienciano,,PER,-13.518300,-71.978100
Independence Park,National Stadium,,JAM,41.938900,-73.990100
Independence Stadium,MainStay Indep. Bowl,,USA,32.618800,-93.885200
Indian Stadium,Arkansas State Indians,,USA,35.886400,-90.642500
Infineon Raceway,Race-use,,USA,38.243300,-122.460200
International Speedway,Race-use,,USA,35.710200,-84.374300
Istanbul Park,Race-use,,TUR,41.018600,28.964700
Izmir Atatürk Stadi,Göztepe SK,,TUR,38.412700,27.138400
Jack Trice Stadium,Iowa State Cyclones,,USA,42.030000,-93.590500
Jalak Harupat Soreang,Persikab Bandung,,IDN,-6.903900,107.618600
Jamsil Stadium,LG Twins,,KOR,37.598500,126.978300
Jawaharlal Nehru Stadium,Football-use,,IND,13.083300,80.283300
Jeque Zayed Stadium,National Stadium,,ARE,24.466700,54.366700
Jiangwan Sports Centre,Multi-use,,CHN,31.045600,121.399700
Jingu Stadium,Yakult Swallows,,JPN,35.685000,139.751400
Jinnah Sport Stadium,ZTBL FC,,PAK,33.690000,73.055100
